date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,MOM
198702,0.4309,4.3789,3.3665,-1.9139,2.0684,-1.0583,-2.07
198703,0.5012,1.6041,-0.7151,4.2001,-1.1294,1.3212,1.68
198704,0.4285,-2.0802,-2.4687,0.3054,-1.5336,0.5546,0.22
198705,0.376,0.1082,-1.2157,-0.1208,-2.3436,-0.1604,-0.74
198706,0.5031,3.8854,-1.521,1.3763,1.4245,-0.1725,-0.25
198707,0.4058,3.8826,-2.0803,0.1168,-1.7888,-0.6461,2.66
198708,0.4744,3.517,-0.1983,-0.2478,3.8033,2.47,-0.86
198709,0.482,-2.614,0.6269,1.9312,0.5893,1.8371,0.77
198710,0.604,-23.1879,-7.4742,3.3505,0.3321,2.5122,-7.86
198711,0.3366,-7.731,3.269,0.5934,-0.6684,0.9005,-1.17
198712,0.2988,6.9067,0.2423,-2.4286,3.8977,1.5001,5.87
198801,0.2762,4.2247,-0.7423,1.3309,-4.0763,-1.7613,-7.27
198802,0.4564,4.7514,3.511,-0.597,1.0296,-0.5611,-1.47
198803,0.4402,-2.2571,5.7006,1.6541,-2.1572,-2.0542,0.58
198804,0.4577,0.565,0.9345,2.1932,0.6511,0.8805,2.24
198805,0.5051,-0.2803,-1.1958,0.5942,-0.1354,1.2654,0.63
198806,0.4832,4.7832,2.7853,-3.2605,2.2112,1.827,-2.93
198807,0.506,-1.2466,0.2162,1.1054,-1.1317,0.0362,0.65
198808,0.5957,-3.3012,0.0323,1.6719,-2.1552,-0.3743,0.35
198809,0.6145,3.2965,-1.4556,-0.42,2.1771,0.8003,0.27
198810,0.6074,1.1583,-2.8125,0.5013,0.056,0.6658,1.33
198811,0.5742,-2.2859,-1.928,1.3928,-0.4884,0.3857,0.33
198812,0.6306,1.4837,2.4204,0.4539,0.7818,0.3588,0.49
198901,0.5766,6.0493,-2.204,0.0107,-0.3507,1.5755,-0.16
198902,0.611,-2.2487,2.9516,1.5631,-0.4588,-0.1775,0.99
198903,0.6213,1.6143,1.3323,1.2637,-0.142,0.7625,3.51
198904,0.681,4.3084,-0.9415,-0.2841,1.1641,-0.2366,1.77
198905,0.8006,3.324,0.0394,0.1016,1.1975,0.4101,1.52
198906,0.7147,-1.3768,-0.7322,1.593,-0.1521,-0.945,0.43
198907,0.704,7.1685,-3.464,-0.4503,4.9063,2.513,5.39
198908,0.6684,1.5108,0.484,-0.4255,1.6506,0.1417,-0.12
198909,0.6387,-0.755,0.7698,1.1982,1.6439,1.9521,3.4
198910,0.682,-3.6616,-3.3543,1.2994,1.4077,2.3565,1.32
198911,0.634,1.0797,-1.3396,1.6323,0.2406,-0.6157,2.6
198912,0.5941,1.1757,-1.9468,1.5752,1.0677,2.4412,2.8
199001,0.5852,-7.8121,-1.2188,0.925,0.0355,-0.2233,-3.27
199002,0.5818,1.1005,1.1796,-1.0948,-0.3925,0.0922,-0.54
199003,0.638,1.8341,1.2208,-0.3645,2.2864,1.6764,1.8
199004,0.6829,-3.349,-0.4983,-0.7918,1.9801,0.5974,2.39
199005,0.6404,8.4551,-1.6378,-0.8619,3.7369,2.6182,3.03
199006,0.5898,-1.0525,1.845,0.2453,2.2253,-0.2247,2.4
199007,0.6704,-1.8917,-2.4684,4.0112,2.5571,0.0433,6.14
199008,0.6154,-10.0751,-4.526,3.7203,-0.9983,1.2578,1.88
199009,0.5984,-6.1127,-3.4191,2.6212,-0.4552,2.6916,5.78
199010,0.6559,-1.8953,-5.0423,0.2605,2.077,3.0868,6.71
199011,0.5651,6.3399,0.4489,-3.9833,1.5215,-0.8148,-5.48
199012,0.5989,2.4606,1.3158,-1.9466,3.8535,1.5238,0.29
199101,0.4637,4.7364,3.3624,-3.9503,0.1591,1.585,-6.45
199102,0.4767,7.1852,3.6299,0.1463,-1.2402,-0.6823,-4.61
199103,0.4391,2.6593,3.9312,-0.9285,1.6779,0.1004,2.87
199104,0.5335,-0.2777,-0.7093,0.4677,1.3981,0.6058,-2.36
199105,0.4461,3.6749,-0.5648,-1.9526,-0.7118,-1.0608,-0.11
199106,0.4171,-4.9394,0.0591,0.6135,1.3683,0.4787,0.47
