date,Mom   
19870107,0.1
19870108,-0.07
19870109,-0.43
19870112,-0.04
19870113,0.59
19870114,-0.43
19870115,-0.24
19870116,0.41
19870119,-0.24
19870120,0.84
19870121,0.35
19870122,0.24
19870123,0.15
19870126,0.12
19870127,0.14
19870128,0.19
19870129,-0.12
19870130,-0.05
19870202,-0.5
19870203,-0.26
19870204,-0.39
19870205,-0.76
19870206,-0.1
19870209,0.02
19870210,-0.22
19870211,-0.2
19870212,0.13
19870213,0.1
19870217,0.15
19870218,0.05
19870219,-0.3
19870220,-0.18
19870223,-0.48
19870224,0.08
19870225,0.27
19870226,0.39
19870227,-0.18
19870302,-0.1
19870303,0.2
19870304,0.45
19870305,0.52
19870306,0.47
19870309,-0.15
19870310,-0.23
19870311,0.3
19870312,-0.07
19870313,-0.2
19870316,-0.08
19870317,0.51
19870318,0.24
19870319,0.13
19870320,0.11
19870323,0.36
19870324,0.04
19870325,-0.55
19870326,0.49
19870327,-0.14
19870330,-0.98
19870331,0.55
19870401,0.09
19870402,0.68
19870403,0.69
19870406,0.27
19870407,-0.21
19870408,-0.23
19870409,0.18
19870410,-0.21
19870413,-0.68
19870414,-0.68
19870415,0.17
19870416,0.49
19870420,-0.15
19870421,0.21
19870422,0.26
19870423,-0.11
19870424,-0.38
19870427,-0.55
19870428,0.18
19870429,0.07
19870430,0.42
19870501,-0.18
19870504,-0.19
19870505,0.44
19870506,0.32
19870507,-0.01
19870508,0.08
19870511,-0.16
19870512,-0.19
19870513,0.3
19870514,0.04
19870515,-0.21
19870518,-0.08
19870519,-0.42
19870520,-0.18
19870521,-0.23
19870522,-0.01
19870526,-0.13
19870527,-0.33
19870528,0.22
19870529,-0.16
19870601,-0.27
19870602,-0.03
19870603,0.07
19870604,-0.1
19870605,0.06
19870608,0.02
19870609,0.2
19870610,-0.25
19870611,-0.43
19870612,-0.27
19870615,-0.5
19870616,-0.2
19870617,0.27
19870618,-0.17
19870619,0.06
19870622,0.33
19870623,0.27
19870624,0.05
19870625,-0.07
19870626,0.06
19870629,0.37
19870630,0.05
19870701,-0.17
19870702,0.24
19870706,0.12
19870707,0.43
19870708,0.3
19870709,0.11
19870710,-0.13
19870713,0.16
19870714,0.67
19870715,0.44
19870716,0.41
19870717,-0.08
19870720,-0.08
19870721,-0.31
19870722,0
19870723,-0.14
19870724,0.14
19870727,-0.05
19870728,0.02
19870729,0.26
19870730,0.73
19870731,0.21
19870803,0.53
19870804,-0.31
19870805,-0.23
19870806,0.25
19870807,-0.14
19870810,0.15
19870811,0.17
19870812,-0.56
19870813,-0.72
19870814,-0.41
19870817,-0.43
19870818,-0.39
19870819,0.2
19870820,0.66
19870821,0.11
19870824,-0.11
19870825,0.02
19870826,-0.2
19870827,0.07
19870828,-0.27
19870831,0.17
19870901,-0.18
19870902,-0.04
19870903,-0.13
19870904,-0.35
19870908,-0.34
19870909,0.42
19870910,1
19870911,0.72
19870914,-0.03
19870915,-0.48
19870916,-0.41
19870917,0.35
19870918,0.16
19870921,-0.75
19870922,0.79
19870923,0.83
19870924,0.14
19870925,-0.04
19870928,0.35
19870929,-0.31
19870930,-0.03
19871001,0.67
19871002,0.22
19871005,0.31
19871006,-1.06
19871007,-0.14
19871008,-0.86
19871009,-0.47
19871012,-0.58
19871013,-0.06
19871014,-1.07
19871015,-1.17
19871016,-1.82
19871019,-4.74
19871020,0.16
19871021,2.56
19871022,-2.11
19871023,-0.97
19871026,-3.92
19871027,0.88
19871028,1.03
19871029,4.05
19871030,1.94
19871102,0.44
19871103,-1.45
19871104,-0.69
19871105,0.74
19871106,-0.65
19871109,-0.92
19871110,-0.78
19871111,0.57
19871112,1.8
19871113,-0.4
19871116,0.43
19871117,-0.02
19871118,0.38
19871119,-0.17
19871120,0.28
19871123,0.31
19871124,0.59
19871125,-0.11
19871127,-0.17
19871130,0.19
19871201,0.29
19871202,0.17
19871203,-0.09
19871204,0.42
19871207,1.38
19871208,0.8
19871209,0.71
19871210,0.03
19871211,0.22
19871214,0.35
19871215,0.07
19871216,-0.34
19871217,-0.28
19871218,-0.84
19871221,0.28
19871222,0.5
19871223,-0.03
19871224,-0.23
19871228,-0.08
19871229,-0.29
19871230,0.16
19871231,0.12
19880104,-1.71
19880105,-1.01
19880106,-1.46
19880107,-0.76
19880108,0.62
19880111,0
19880112,-0.03
19880113,-0.2
19880114,-0.04
19880115,0.2
19880118,-0.2
19880119,-0.56
19880120,-0.16
19880121,0.18
19880122,-0.18
19880125,0.15
19880126,-0.07
19880127,-0.18
19880128,-0.08
19880129,-0.53
19880201,-0.42
19880202,-0.26
19880203,-0.42
19880204,-0.06
19880205,-0.1
19880208,0.2
19880209,0.17
19880210,0.24
19880211,0.14
19880212,0.02
19880216,-0.08
19880217,-0.03
19880218,-0.17
19880219,-0.39
19880222,-0.51
19880223,0.03
19880224,-0.45
19880225,-0.05
19880226,-0.28
19880229,-0.63
19880301,-0.14
19880302,-0.33
19880303,-0.19
19880304,-0.05
19880307,-0.58
19880308,-0.2
19880309,-0.25
19880310,0.39
19880311,0.17
19880314,0.33
19880315,0.63
19880316,0.07
19880317,0.06
19880318,0.24
19880321,0.29
19880322,-0.49
19880323,0.05
19880324,0.39
19880325,0.01
19880328,0.28
19880329,0.15
19880330,0.46
19880331,-0.51
19880404,0.34
19880405,0
19880406,-0.27
19880407,0.28
19880408,0.04
19880411,-0.09
19880412,0.1
19880413,-0.13
19880414,0.63
19880415,-0.21
19880418,-0.18
19880419,0.17
19880420,0.06
19880421,0.34
19880422,-0.12
19880425,0.12
19880426,-0.12
19880427,-0.01
19880428,0.3
19880429,0.14
19880502,-0.21
19880503,0.08
19880504,0.29
19880505,0.05
19880506,0.18
19880509,-0.01
19880510,-0.09
19880511,0.22
19880512,0.11
19880513,-0.01
19880516,-0.15
19880517,0.23
19880518,0.37
19880519,-0.37
19880520,-0.05
19880523,0.09
19880524,-0.03
19880525,0.14
19880526,-0.16
19880527,0.04
19880531,-0.55
19880601,-0.26
19880602,0.1
19880603,0.23
19880606,-0.38
19880607,0.15
19880608,-0.59
19880609,0.08
19880610,-0.15
19880613,0.1
19880614,0.12
19880615,-0.21
19880616,0.44
19880617,0.06
19880620,-0.05
19880621,-0.57
19880622,-0.37
19880623,-0.27
19880624,-0.27
19880627,0.05
19880628,-0.25
19880629,-0.08
19880630,-0.5
19880701,-0.04
19880705,-0.25
19880706,0.14
19880707,-0.12
19880708,0.01
19880711,-0.03
19880712,0.21
19880713,0.08
19880714,0.03
19880715,-0.12
19880718,0.07
19880719,0.14
19880720,-0.19
19880721,0.21
19880722,0.19
19880725,-0.12
19880726,0.14
19880727,0.24
19880728,-0.32
19880729,-0.35
19880801,0.05
19880802,0.13
19880803,0
19880804,0.05
19880805,0.07
19880808,0.12
19880809,0.11
19880810,0.28
19880811,-0.25
19880812,0.04
19880815,0.37
19880816,-0.19
19880817,0.24
19880818,-0.13
19880819,0.15
19880822,0.49
19880823,-0.02
19880824,-0.33
19880825,0.27
19880826,0
19880829,-0.15
19880830,0.11
19880831,0.03
19880901,0.13
19880902,-0.41
19880906,-0.1
19880907,-0.1
19880908,0
19880909,-0.48
19880912,0.02
19880913,0.06
19880914,-0.01
19880915,0.3
19880916,-0.27
19880919,0.11
19880920,0.2
19880921,-0.17
19880922,0.05
19880923,0.09
19880926,0.45
19880927,0.24
19880928,0.13
19880929,-0.25
19880930,0.2
19881003,0.23
19881004,0.25
19881005,0.07
19881006,0.06
19881007,0.1
19881010,-0.03
19881011,-0.06
19881012,0.15
19881013,0
19881014,0.11
19881017,-0.25
19881018,-0.18
19881019,0.16
19881020,-0.21
19881021,-0.01
19881024,0.29
19881025,-0.19
19881026,0.07
19881027,0.12
19881028,0.08
19881031,-0.07
19881101,0.07
19881102,0.16
19881103,0.16
19881104,0.09
19881107,-0.26
19881108,-0.17
19881109,-0.1
19881110,-0.02
19881111,0.17
19881114,-0.15
19881115,0.09
19881116,-0.15
19881117,-0.15
19881118,-0.05
19881121,0.15
19881122,0
19881123,0.24
19881125,0.17
19881128,-0.1
19881129,0.18
19881130,0.33
19881201,0.21
19881202,-0.29
19881205,-0.05
19881206,-0.06
19881207,0.2
19881208,-0.07
19881209,0.15
19881212,0.44
19881213,0.07
19881214,-0.02
19881215,-0.32
19881216,-0.29
19881219,-0.16
19881220,0.05
19881221,0.06
19881222,-0.12
19881223,-0.15
19881227,0.15
19881228,-0.12
19881229,-0.29
19881230,-0.2
19890103,-0.24
19890104,-0.63
19890105,0.16
19890106,0.19
19890109,0.2
19890110,0.1
19890111,0.14
19890112,0.23
19890113,-0.05
19890116,0.08
19890117,0.27
19890118,0.09
19890119,-0.15
19890120,-0.25
19890123,-0.1
19890124,0.02
19890125,0.15
19890126,-0.11
19890127,0.29
19890130,-0.04
19890131,0.14
19890201,-0.12
19890202,-0.33
19890203,0.09
19890206,0.15
19890207,0.05
19890208,0.1
19890209,0.18
19890210,0.05
19890213,0.08
19890214,-0.06
19890215,-0.1
19890216,-0.09
19890217,-0.02
19890221,0.26
19890222,0.19
19890223,0.05
19890224,0.05
19890227,-0.17
19890228,0.19
19890301,0.21
19890302,0.39
19890303,0.24
19890306,0.43
19890307,0.22
19890308,0.09
19890309,0.07
19890310,0.13
19890313,0.19
19890314,0
19890315,0.28
19890316,0.25
19890317,0.18
19890320,-0.21
19890321,0.1
